vehicle_id,display_name,path_index,aria_label,d,stroke,class_name,extraction_timestamp_utc
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,0,Mercedes-Benz CLA Coupe 250+ EQ Progressive,"M4.316901408450704,6L12.950704225352112,6L21.58450704225352,6L30.218309859154928,6L38.852112676056336,6L47.485915492957744,6L56.11971830985915,9L64.75352112676056,12L73.38732394366197,16L82.02112676056338,20L90.65492957746478,25L99.28873239436619,29L107.9225352112676,34L116.55633802816901,40L125.19014084507042,46L133.82394366197184,49L142.45774647887322,49L151.09154929577466,50L159.72535211267603,50L168.35915492957747,51L176.99295774647885,53L185.6267605633803,58L194.26056338028167,62L202.8943661971831,66L211.52816901408448,75L220.16197183098592,82L228.7957746478873,88L237.42957746478874,95L246.06338028169012,101L254.69718309859155,108L263.33098591549293,115L271.96478873239437,122L280.59859154929575,126L289.2323943661971,133L297.86619718309856,139L306.5,145L315.1338028169014,148L323.76760563380276,151L332.4014084507042,154L341.03521126760563,156L349.669014084507,159L358.3028169014084,162L366.9366197183098,165L375.57042253521126,168L384.20422535211264,171L392.838028169014,174L401.47183098591546,179L410.1056338028169,187L418.7394366197183,192L427.37323943661966,199L436.0070422535211,206L444.64084507042253,213L453.2746478873239,221L461.9084507042253,227L470.5422535211267,235L479.17605633802816,242L487.80985915492954,249L496.4436619718309,252L505.07746478873236,254L513.7112676056338,256L522.3450704225352,258L530.9788732394366,260L539.612676056338,262L548.2464788732394,264L556.8802816901408,266L565.5140845070422,268L574.1478873239436,270L582.7816901408451,272L591.4154929577464,276L600.0492957746478,281L608.6830985915493,286","rgb(255, 204, 0)",igc-graph-line-path,2026-05-19T08:51:23Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,1,"ⵁ Ladeleistung 205,8","M4.316901408450704,138Z","rgb(255, 255, 255)",igc-graph-line-path,2026-05-19T08:51:23Z
porsche_taycan_performancebatterie_plus,Porsche Taycan Performancebatterie Plus,0,Porsche Taycan Performancebatterie Plus,"M4.316901408450704,15L12.950704225352112,14L21.58450704225352,10L30.218309859154928,8L38.852112676056336,11L47.485915492957744,12L56.11971830985915,9L64.75352112676056,9L73.38732394366197,7L82.02112676056338,10L90.65492957746478,8L99.28873239436619,8L107.9225352112676,7L116.55633802816901,7L125.19014084507042,7L133.82394366197184,7L142.45774647887322,8L151.09154929577466,6L159.72535211267603,7L168.35915492957747,6L176.99295774647885,7L185.6267605633803,7L194.26056338028167,7L202.8943661971831,8L211.52816901408448,7L220.16197183098592,7L228.7957746478873,7L237.42957746478874,8L246.06338028169012,7L254.69718309859155,8L263.33098591549293,6L271.96478873239437,8L280.59859154929575,7L289.2323943661971,8L297.86619718309856,7L306.5,6L315.1338028169014,8L323.76760563380276,7L332.4014084507042,7L341.03521126760563,8L349.669014084507,8L358.3028169014084,7L366.9366197183098,7L375.57042253521126,8L384.20422535211264,8L392.838028169014,9L401.47183098591546,9L410.1056338028169,10L418.7394366197183,8L427.37323943661966,9L436.0070422535211,9L444.64084507042253,8L453.2746478873239,10L461.9084507042253,15L470.5422535211267,19L479.17605633802816,20L487.80985915492954,32L496.4436619718309,41L505.07746478873236,55L513.7112676056338,130L522.3450704225352,127L530.9788732394366,127L539.612676056338,126L548.2464788732394,126L556.8802816901408,125L565.5140845070422,150L574.1478873239436,168L582.7816901408451,187L591.4154929577464,210L600.0492957746478,232L608.6830985915493,282","rgb(255, 204, 0)",igc-graph-line-path,2026-05-19T08:51:23Z
porsche_taycan_performancebatterie_plus,Porsche Taycan Performancebatterie Plus,1,"ⵁ Ladeleistung 274,9 kW","M4.316901408450704,37Z","rgb(255, 255, 255)",igc-graph-line-path,2026-05-19T08:51:23Z
mercedes_benz_eqs_450_amg_line,Mercedes-Benz EQS 450+ AMG Line,0,Mercedes-Benz EQS 450+ AMG Line,"M4.316901408450704,55L12.950704225352112,53L21.58450704225352,51L30.218309859154928,50L38.852112676056336,48L47.485915492957744,47L56.11971830985915,45L64.75352112676056,45L73.38732394366197,44L82.02112676056338,43L90.65492957746478,43L99.28873239436619,42L107.9225352112676,41L116.55633802816901,40L125.19014084507042,39L133.82394366197184,38L142.45774647887322,38L151.09154929577466,37L159.72535211267603,36L168.35915492957747,35L176.99295774647885,35L185.6267605633803,34L194.26056338028167,33L202.8943661971831,32L211.52816901408448,31L220.16197183098592,31L228.7957746478873,31L237.42957746478874,29L246.06338028169012,29L254.69718309859155,27L263.33098591549293,28L271.96478873239437,26L280.59859154929575,25L289.2323943661971,24L297.86619718309856,23L306.5,21L315.1338028169014,25L323.76760563380276,33L332.4014084507042,38L341.03521126760563,47L349.669014084507,54L358.3028169014084,61L366.9366197183098,69L375.57042253521126,75L384.20422535211264,83L392.838028169014,91L401.47183098591546,97L410.1056338028169,106L418.7394366197183,113L427.37323943661966,122L436.0070422535211,129L444.64084507042253,138L453.2746478873239,146L461.9084507042253,154L470.5422535211267,164L479.17605633802816,172L487.80985915492954,180L496.4436619718309,187L505.07746478873236,194L513.7112676056338,202L522.3450704225352,209L530.9788732394366,216L539.612676056338,223L548.2464788732394,228L556.8802816901408,237L565.5140845070422,243L574.1478873239436,250L582.7816901408451,257L591.4154929577464,265L600.0492957746478,276L608.6830985915493,289","rgb(255, 204, 0)",igc-graph-line-path,2026-05-19T08:51:23Z
mercedes_benz_eqs_450_amg_line,Mercedes-Benz EQS 450+ AMG Line,1,"ⵁ Ladeleistung 181,2","M4.316901408450704,94Z","rgb(255, 255, 255)",igc-graph-line-path,2026-05-19T08:51:23Z
hyundai_ioniq_6_77_4_kwh_rwd,"Hyundai IONIQ 6 77,4 kWh RWD",0,"Hyundai IONIQ 6 77,4 kWh RWD","M4.316901408450704,257L12.950704225352112,246L21.58450704225352,244L30.218309859154928,244L38.852112676056336,114L47.485915492957744,99L56.11971830985915,97L64.75352112676056,96L73.38732394366197,96L82.02112676056338,96L90.65492957746478,94L99.28873239436619,93L107.9225352112676,94L116.55633802816901,92L125.19014084507042,93L133.82394366197184,93L142.45774647887322,90L151.09154929577466,89L159.72535211267603,89L168.35915492957747,82L176.99295774647885,25L185.6267605633803,23L194.26056338028167,23L202.8943661971831,22L211.52816901408448,23L220.16197183098592,22L228.7957746478873,20L237.42957746478874,18L246.06338028169012,18L254.69718309859155,18L263.33098591549293,16L271.96478873239437,16L280.59859154929575,15L289.2323943661971,16L297.86619718309856,14L306.5,15L315.1338028169014,13L323.76760563380276,14L332.4014084507042,13L341.03521126760563,12L349.669014084507,10L358.3028169014084,11L366.9366197183098,9L375.57042253521126,187L384.20422535211264,184L392.838028169014,146L401.47183098591546,109L410.1056338028169,107L418.7394366197183,108L427.37323943661966,107L436.0070422535211,128L444.64084507042253,126L453.2746478873239,125L461.9084507042253,140L470.5422535211267,161L479.17605633802816,158L487.80985915492954,158L496.4436619718309,158L505.07746478873236,157L513.7112676056338,182L522.3450704225352,183L530.9788732394366,181L539.612676056338,180L548.2464788732394,179L556.8802816901408,180L565.5140845070422,178L574.1478873239436,178L582.7816901408451,177L591.4154929577464,195L600.0492957746478,234L608.6830985915493,255","rgb(255, 204, 0)",igc-graph-line-path,2026-05-19T08:51:23Z
hyundai_ioniq_6_77_4_kwh_rwd,"Hyundai IONIQ 6 77,4 kWh RWD",1,"ⵁ Ladeleistung 189,7 kW","M4.316901408450704,105Z","rgb(255, 255, 255)",igc-graph-line-path,2026-05-19T08:51:23Z
audi_a6_avant_e_tron_performance,Audi A6 Avant e-tron performance,0,Audi A6 Avant e-tron performance,"M4.316901408450704,43L12.950704225352112,40L21.58450704225352,38L30.218309859154928,35L38.852112676056336,36L47.485915492957744,34L56.11971830985915,33L64.75352112676056,33L73.38732394366197,31L82.02112676056338,31L90.65492957746478,30L99.28873239436619,29L107.9225352112676,29L116.55633802816901,28L125.19014084507042,27L133.82394366197184,26L142.45774647887322,26L151.09154929577466,25L159.72535211267603,60L168.35915492957747,107L176.99295774647885,143L185.6267605633803,151L194.26056338028167,143L202.8943661971831,143L211.52816901408448,135L220.16197183098592,144L228.7957746478873,142L237.42957746478874,143L246.06338028169012,149L254.69718309859155,148L263.33098591549293,157L271.96478873239437,157L280.59859154929575,156L289.2323943661971,164L297.86619718309856,165L306.5,173L315.1338028169014,172L323.76760563380276,171L332.4014084507042,173L341.03521126760563,178L349.669014084507,179L358.3028169014084,187L366.9366197183098,185L375.57042253521126,184L384.20422535211264,185L392.838028169014,184L401.47183098591546,193L410.1056338028169,191L418.7394366197183,191L427.37323943661966,193L436.0070422535211,197L444.64084507042253,199L453.2746478873239,204L461.9084507042253,200L470.5422535211267,203L479.17605633802816,201L487.80985915492954,209L496.4436619718309,209L505.07746478873236,218L513.7112676056338,219L522.3450704225352,223L530.9788732394366,225L539.612676056338,224L548.2464788732394,229L556.8802816901408,235L565.5140845070422,241L574.1478873239436,247L582.7816901408451,250L591.4154929577464,254L600.0492957746478,257L608.6830985915493,260","rgb(255, 204, 0)",igc-graph-line-path,2026-05-19T08:51:23Z
audi_a6_avant_e_tron_performance,Audi A6 Avant e-tron performance,1,"ⵁ Ladeleistung 199,5 kW","M4.316901408450704,147Z","rgb(255, 255, 255)",igc-graph-line-path,2026-05-19T08:51:23Z
