vehicle_id,row_index,display_name,manufacturer,model,variant,source_url,extraction_timestamp_utc,raw_row_text,table_values_json,rank,range_until_stop_km,range_added_20min_km,range_total_one_stop_km,battery_capacity_kwh,consumption_kwh_per_100km,max_charging_power_kw
mercedes_benz_cla_coupe_250_eq_progressive,0,Mercedes-Benz CLA Coupe 250+ EQ Progressive,Mercedes-Benz,CLA Coupe 250+ EQ Progressive,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Mercedes-Benz CLA Coupe 250+ EQ Progressive 1226 670 556,"{""Gesamt-Reichweite"": ""1226"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""670"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""556"", ""vehicle"": ""Mercedes-Benz CLA Coupe 250+ EQ Progressive""}",1,670,556,1226,,,
porsche_taycan_performancebatterie_plus,1,Porsche Taycan Performancebatterie Plus,Porsche,Taycan Performancebatterie Plus,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Porsche Taycan Performancebatterie Plus 981 513 468,"{""Gesamt-Reichweite"": ""981"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""513"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""468"", ""vehicle"": ""Porsche Taycan Performancebatterie Plus""}",2,513,468,981,,,
mercedes_benz_eqs_450_amg_line,2,Mercedes-Benz EQS 450+ AMG Line,Mercedes-Benz,EQS 450+ AMG Line,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Mercedes-Benz EQS 450+ AMG Line 962 597 365,"{""Gesamt-Reichweite"": ""962"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""597"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""365"", ""vehicle"": ""Mercedes-Benz EQS 450+ AMG Line""}",3,597,365,962,,,
hyundai_ioniq_6_77_4_kwh_rwd,3,"Hyundai IONIQ 6 77,4 kWh RWD",Hyundai,"IONIQ 6 77,4 kWh RWD",,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,"Hyundai IONIQ 6 77,4 kWh RWD 931 502 429","{""Gesamt-Reichweite"": ""931"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""502"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""429"", ""vehicle"": ""Hyundai IONIQ 6 77,4 kWh RWD""}",4,502,429,931,,,
audi_a6_avant_e_tron_performance,4,Audi A6 Avant e-tron performance,Audi,A6 Avant e-tron performance,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Audi A6 Avant e-tron performance 921 524 397,"{""Gesamt-Reichweite"": ""921"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""524"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""397"", ""vehicle"": ""Audi A6 Avant e-tron performance""}",5,524,397,921,,,
audi_q6_e_tron_performance,5,Audi Q6 e-tron performance,Audi,Q6 e-tron performance,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Audi Q6 e-tron performance 884 509 375,"{""Gesamt-Reichweite"": ""884"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""509"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""375"", ""vehicle"": ""Audi Q6 e-tron performance""}",6,509,375,884,,,
smart_5_premium,6,Smart #5 Premium,Smart,#5 Premium,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Smart #5 Premium 876 464 412,"{""Gesamt-Reichweite"": ""876"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""464"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""412"", ""vehicle"": ""Smart #5 Premium""}",7,464,412,876,,,
lucid_air_grand_touring,7,Lucid Air Grand Touring,Lucid,Air Grand Touring,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Lucid Air Grand Touring 859 550 309,"{""Gesamt-Reichweite"": ""859"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""550"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""309"", ""vehicle"": ""Lucid Air Grand Touring""}",8,550,309,859,,,
bmw_ix_xdrive50_108_8_kwh,8,"BMW iX xDrive50 108,8 kWh",BMW,"iX xDrive50 108,8 kWh",,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,"BMW iX xDrive50 108,8 kWh 835 553 282","{""Gesamt-Reichweite"": ""835"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""553"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""282"", ""vehicle"": ""BMW iX xDrive50 108,8 kWh""}",9,553,282,835,,,
hyundai_ioniq_9_techniq,9,Hyundai IONIQ 9 TECHNIQ,Hyundai,IONIQ 9 TECHNIQ,,https://www.adac.de/infogram/a194a8ff-52a8-41cb-bd33-e553c66f04f8/?parent_url=https%3A%2F%2Fwww.adac.de%2Frund-ums-fahrzeug%2Felektromobilitaet%2Fladen%2Fschnellladen-langstrecke-ladekurven-2026%2F&src=embed#async_embed,2026-05-19T08:51:23Z,Hyundai IONIQ 9 TECHNIQ 832 482 350,"{""Gesamt-Reichweite"": ""832"", ""Reichweite mit vollem Akku (10% Restenergie)"": ""482"", ""chart_switch"": """", ""gewonnene Reichweite durch 20 Minuten Laden"": ""350"", ""vehicle"": ""Hyundai IONIQ 9 TECHNIQ""}",10,482,350,832,,,
